asset.display_ipv4_address,asset.id,asset.name,definition.family,definition.id,definition.name,definition.vpr.score,id,port,protocol,severity,state
10.64.225.191,825e5f62-dcd2-498b-8ef1-aa73fe75c55a,p489544,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,0104ed78-7176-4d81-b799-e3d2879a0447,0,TCP,High,RESURFACED
192.168.18.15,a00001a1-206d-431c-8251-4521e430bb0c,p483680,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,01ae2ef9-4930-4c85-80f7-ee8ddd48190c,0,TCP,High,ACTIVE
10.65.1.48,ddcb45e0-52b7-4dcf-9553-e626805bc7ba,p485244,Misc.,156183,Apache Log4j 2.x < 2.17.0 DoS,6.6,02a536a8-6124-49c3-988b-d3408e4be14b,0,TCP,Medium,RESURFACED
10.240.67.125,ca254a7f-edf7-453e-adbf-373c19182b3e,p487433,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,02eed933-a7cb-4ee6-9c20-908434007b61,0,TCP,High,RESURFACED
10.6.97.14,dffc9f1c-0c46-4e59-b151-5642eebc3be8,p524156,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,04286229-bb7c-4974-aeea-92eeae2b2484,0,TCP,High,RESURFACED
10.42.0.203,abcf173c-e02b-4d4f-a49f-4da776cdc585,p486990,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,0458cb68-9a1a-4e24-b902-44bd01926b24,0,TCP,High,RESURFACED
10.100.145.196,bb5f0b2e-6565-4a3f-a58d-e63210578d01,p489117,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,05559bdb-905e-4d7a-8ceb-d823e1afae2d,0,TCP,High,RESURFACED
10.64.82.146,7327e8a0-4587-4cdb-8daa-f0219d997659,p523958,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,06e69ccc-d476-4f72-beba-33830b4314f4,0,TCP,High,RESURFACED
10.100.146.66,3225c3b8-5b8f-4063-af85-3acd39a034d1,p489470,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,08cb89a7-248b-4bba-bfcc-8f352125efb0,0,TCP,High,RESURFACED
192.168.80.1,01b852ab-a08a-41a1-be7c-6db2081b811f,p488796,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,098f6f1c-ca45-469b-a10f-189aff9b5f34,0,TCP,High,ACTIVE
10.65.1.48,ddcb45e0-52b7-4dcf-9553-e626805bc7ba,p485244,Misc.,156002,Apache Log4j < 2.15.0 Remote Code Execution (Windows),10.0,09dfbed2-903f-4827-9053-408346bc15de,445,TCP,Critical,RESURFACED
192.192.192.15,75297c5a-95e5-4aec-8cdb-e8629288914c,p487339,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,0e65ad14-248c-4e49-b208-95a4b3ab37b5,0,TCP,High,RESURFACED
10.101.1.174,d7b16928-75d8-4d23-b50e-f9e7ab438f42,p489221,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,0e994815-dfdb-47e1-9172-1dd94ea60ce0,0,TCP,High,RESURFACED
10.64.145.218,b6703e2e-b55b-4543-a5ac-37d9b3ee1e59,p520866,Misc.,156327,Apache Log4j 2.0 < 2.3.2 / 2.4 < 2.12.4 / 2.13 < 2.17.1 RCE,6.7,0ecdb150-2e7b-41ef-b2e7-a6bd028659e7,0,TCP,Medium,RESURFACED
10.64.129.223,284ec177-ea5d-4ca6-91d7-fc51309053a3,p519534,Misc.,156327,Apache Log4j 2.0 < 2.3.2 / 2.4 < 2.12.4 / 2.13 < 2.17.1 RCE,6.7,10167e1f-b74b-4bb8-924d-290ee808b66f,0,TCP,Medium,RESURFACED
10.65.2.31,106b38f6-bcca-434e-b1bf-a9009477d236,p485245,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,10729434-7911-49d1-907a-a0573af11985,0,TCP,High,RESURFACED
10.65.2.31,106b38f6-bcca-434e-b1bf-a9009477d236,p485245,Misc.,156183,Apache Log4j 2.x < 2.17.0 DoS,6.6,10d6a050-4b34-43da-860b-70a0bcff6699,0,TCP,Medium,RESURFACED
10.236.67.123,d5aef2ba-19b6-4fdd-be30-03ccdbf02222,p487333,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,10e2ef7d-c222-47da-b234-80d8b392d8af,0,TCP,High,RESURFACED
10.240.67.112,31c65fdf-54ae-42ad-a881-f1c50ee82398,p482794,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,11d75f36-5237-4cac-ac31-ca55faedb23f,0,TCP,High,RESURFACED
10.100.132.7,7bed6383-0195-4362-8397-14cf35a7bd0c,p489566,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,123579fc-089c-41e5-a960-ba9896fb6643,0,TCP,High,RESURFACED
10.237.192.207,5fcf7d2a-d932-496a-bf86-6956dc407c24,p480742,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,1262ed1d-5117-491a-ac9c-12a679dc99fd,0,TCP,High,RESURFACED
192.192.192.15,73067fb5-ee27-4b1b-8b3b-eff2c5721940,p522425,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,12770ff7-ed59-4e72-a849-819866bd0a85,0,TCP,High,RESURFACED
10.240.66.245,1b19944f-9558-461a-a461-2819965f92f6,p474345,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,14e82cc6-8562-4a33-85ec-a89d34e4af86,0,TCP,High,RESURFACED
10.45.193.10,fd4f5098-e7ce-4adc-b7b3-1510f2574f3a,p489213,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,176bb25c-b8e3-4d2b-ba5e-c3ea735aaf43,0,TCP,High,RESURFACED
10.219.0.173,0e402520-d51b-49f0-85d9-813a621d9f20,p489266,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,17aa76cb-6382-410d-bd59-ff1de33914b2,0,TCP,High,RESURFACED
10.241.65.159,38986a68-11ce-4de1-8e89-f7f7d733af15,p480719,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,189a1916-74f9-4211-ae7f-d58e77a27473,0,TCP,High,RESURFACED
10.64.33.166,376fdd2e-b075-4d8a-ac28-737c46952396,p030101,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,1942dded-b239-487b-9bbc-75e050e61b3f,0,TCP,High,RESURFACED
10.65.1.77,63551a78-2822-41bc-9e95-08f088a9fca2,p488919,Misc.,156057,Apache Log4j 2.x < 2.16.0 RCE,8.1,1a0521cb-b6dd-4bb6-90d6-d245784e420b,0,TCP,Critical,RESURFACED
10.240.67.24,bbcd5503-2b39-4756-bcc9-f52baafb1a50,p523186,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,1b286741-b6ee-4dd8-87fc-39bf062617d6,0,TCP,High,RESURFACED
10.65.1.228,123e64a2-4bf2-4d53-bf4c-e47189e4f5e5,p485254,Misc.,156183,Apache Log4j 2.x < 2.17.0 DoS,6.6,1b5bb684-5c54-4271-8189-81ec2de75805,0,TCP,Medium,RESURFACED
10.237.65.181,12475454-1ff6-406b-b3a7-42f4b24b275a,p483069,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,1c0b47ae-f1fc-4a63-9480-b099897c7f82,0,TCP,High,RESURFACED
10.240.66.140,80979f82-d68f-4018-a243-3b4902fb674c,p489498,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,22556665-df24-4ba3-a5cc-3ff4115ee9e9,0,TCP,High,RESURFACED
10.214.96.166,6aef6d03-6fdf-4a9f-93dc-0b9218e1c1f1,p487477,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,228d1863-fc43-408c-bebf-7bcf3145ab2d,0,TCP,High,RESURFACED
10.64.225.20,d589cff3-5732-4bdd-b206-9cbaa5034a62,p488783,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,24310b1e-9cab-41dc-845d-f8ffa766ed04,0,TCP,High,RESURFACED
10.100.130.37,1ca90c19-1496-4a5a-b0be-8e4566305175,p482582,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,24a8bbca-4116-4923-b46b-0a2d536d1175,0,TCP,High,RESURFACED
10.76.65.227,17e476e2-1da2-4a60-b218-d541bc7fb448,p483153,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,25222c1f-5b68-4aa2-9ce0-88cabdf9726e,0,TCP,High,NEW
10.212.193.151,62b857c6-3e97-41af-b792-fe6b32abfc8d,p482777,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,255c46bf-5ecb-4e31-b180-76fa2d45b433,0,TCP,High,RESURFACED
10.220.144.204,f0e304bf-560c-4f72-aca6-d09c0021c576,p522335,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,2646111e-6f7d-41a0-8385-e95bc4f3e203,0,TCP,High,NEW
10.236.69.57,5fa9eaaa-b0c5-4276-9f64-d6b94a014fba,p483062,Misc.,156103,Apache Log4j 1.2 JMSAppender Remote Code Execution (CVE-2021-4104),6.7,270354e5-dd04-4f17-a0a5-2a11a3b6ed58,0,TCP,High,RESURFACED
